"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","961","should fail login with invalid password","My Login application","Tue Nov 18 20:40:49 BRT 2025","passed","Tue Nov 18 20:40:50 BRT 2025","","","",""
"","739","should increase slider range","My horizontal slider application","Tue Nov 18 20:40:53 BRT 2025","passed","Tue Nov 18 20:40:54 BRT 2025","","","",""
"","1078","should fail login with invalid name","My Login application","Tue Nov 18 20:40:48 BRT 2025","passed","Tue Nov 18 20:40:49 BRT 2025","","","",""
"","241","should check if second checkbox is selected on open","My checkbox application","Tue Nov 18 20:40:52 BRT 2025","passed","Tue Nov 18 20:40:52 BRT 2025","","","",""
"","265","should have both checkboxes disabled","My checkbox application","Tue Nov 18 20:40:53 BRT 2025","passed","Tue Nov 18 20:40:53 BRT 2025","","","",""
"","1652","should login and logout","My Login application","Tue Nov 18 20:40:50 BRT 2025","passed","Tue Nov 18 20:40:52 BRT 2025","","","",""
"","1436","should check overflow prevention","My horizontal slider application","Tue Nov 18 20:40:54 BRT 2025","passed","Tue Nov 18 20:40:55 BRT 2025","","","",""
"","266","should enable the first checkbox","My checkbox application","Tue Nov 18 20:40:52 BRT 2025","passed","Tue Nov 18 20:40:52 BRT 2025","","","",""
"","2774","should login with valid credentials","My Login application","Tue Nov 18 20:40:45 BRT 2025","passed","Tue Nov 18 20:40:48 BRT 2025","","","",""
"","10177","should check underflow prevention","My horizontal slider application","Tue Nov 18 20:40:55 BRT 2025","failed","Tue Nov 18 20:41:05 BRT 2025","","","",""
"","245","should have both checkboxes enabled","My checkbox application","Tue Nov 18 20:40:52 BRT 2025","passed","Tue Nov 18 20:40:53 BRT 2025","","","",""
"","10151","should increase and decrease slider range","My horizontal slider application","Tue Nov 18 20:41:05 BRT 2025","failed","Tue Nov 18 20:41:16 BRT 2025","","","",""
"","308","should check if range is zero","My horizontal slider application","Tue Nov 18 20:40:54 BRT 2025","passed","Tue Nov 18 20:40:54 BRT 2025","","","",""
